City,Country,TripType,Cost,Rating,Popularity,Restaurants,Accommodations,Activities
Bror Hayil,Israel,Cultural,2100,4.7,9.2,"Saba’s, Dosa",Bror Hayil Hotel,"Ancient Ruins, Archaeological Sites"
Ein Rafa,Israel,Cultural,2000,4.6,8.8,"Rafa's Kitchen, The Al-Qudra",Ein Rafa Resort,"Historical Sites, Hiking Trails"
Gaza,Palestine,Cultural,1600,4.2,7.7,"Abu Shaban, Al-Baik",Gaza Beach Hotel,"Mediterranean Views, Markets, Cultural Landmarks"
Austin,United States,Cultural,2500,4.7,9,"Franklin Barbecue, Uchi",The Driskill,"Live Music, Museums, Barton Springs"
Sydney,Australia,Relaxed,3000,4.8,9.5,"Quay, Tetsuya’s",The Langham,"Sydney Opera House, Beaches, Harbour"
Bologna,Italy,Cultural,2200,4.7,9.2,"Osteria dell'Orsa, Trattoria di Via Serra",Art Hotel Commercianti,"Piazza Maggiore, Medieval Towers, Museums"
Modena,Italy,Cultural,2300,4.6,9.1,"Osteria Francescana, Trattoria Aldina",Hotel Rua Frati Minori,"Modena Cathedral, Ferrari Museum"
Polesine Parmense,Italy,Relaxed,1500,4.3,7.9,"La Trattoria del Gallo, Antica Osteria del Po",Agriturismo Ca’ del Lupo,"Po River, Rural Villages, Parmesan Cheese Tours"
Auxerre,France,Relaxed,1800,4.4,8,"Le Bistrot de la Cité, Le Coq de la Place",Hotel Normandie,"Historical Sites, Abbey of Saint-Germain, Yonne River"
Beaune,France,Relaxed,1900,4.6,8.3,"Le Bistro des Cocottes, La Table de Guigone",Hotel Le Cep,"Wine Tasting, Hospices de Beaune, Vineyards"
Morey-Saint-Denis,France,Relaxed,1700,4.5,8.1,"La Table de Pierre, Le Comte de Morey",Château de Morey,"Vineyards, Wine Cellars, Burgundy Wine"
Noyers,France,Relaxed,1600,4.3,7.8,"Le Comptoir de Noyers, L'Escargot",Auberge de Noyers,"Medieval Village, Wine Tours, Historical Sites"
Nuits-Saint-Georges,France,Relaxed,1700,4.4,8,"Le Clos de la Vigne, La Table des Caves",Hotel Restaurant Le Clos,"Vineyards, Wine Cellars, Village Walks"
Pacy-sur-Armançon,France,Relaxed,1500,4.2,7.7,"Le Saint-Georges, Le Bar du Marché",Hotel de la Gare,"Cultural Landmarks, Hiking, River Walks"
Saint-Père,France,Relaxed,1400,4.1,7.6,"L'Auberge de Saint-Père, Le Moulin",Hotel Saint-Père,"Abbey of Saint-Père, River Views, Rural Exploration"
Vézelay,France,Relaxed,1600,4.5,8.4,"La Terrasse, Le Resto du Terroir",Hotel de la Poste,"Basilica of Sainte-Marie-Madeleine, Medieval Streets"
Yonne,France,Relaxed,1700,4.4,8.2,"Le Bistro de l'Hotel de Ville, L'Escapade",Hotel Le Parc,"Burgundy Vineyards, Historical Sites"
Rio de Janeiro,Brazil,Adventurous,2500,4.7,9.4,"Fogo de Chão, Zuka",Hotel Fasano Rio,"Sugarloaf Mountain, Christ the Redeemer, Beaches"
Playa Rincon,Dominican Republic,Relaxed,1200,4.3,8,"La Cueva de las Golondrinas, Restaurante El Tembleque",Viva Wyndham V Samana,"Beaches, Water Sports, Hiking"
Samaná,Dominican Republic,Relaxed,1300,4.5,8.2,"El Cabrón, La Hacienda",Hotel Samaná,"Beaches, Waterfalls, Whale Watching"
Santo Domingo,Dominican Republic,Cultural,1600,4.6,8.9,"Adrian Tropical, Don Pepe",Hotel Jaragua,"Colonial Zone, Museums, Historical Sites"
Brooklyn,United States,Cultural,2500,4.8,9.5,"Grimaldi's Pizza, Peter Luger Steak House",The William Vale,"Brooklyn Bridge, Coney Island, Museums"
Chicago,United States,Cultural,2700,4.7,9.4,"Lou Malnati's, Alinea",The Langham Chicago,"Millennium Park, Art Institute, Navy Pier"
Paris,France,Relaxed,3000,4.9,9.8,"Le Meurice, Le Jules Verne",The Ritz Paris,"Eiffel Tower, Louvre Museum, Champs-Élysées"
Philadelphia,United States,Cultural,2400,4.5,8.7,"Reading Terminal Market, Zahav",The Rittenhouse,"Liberty Bell, Museums, Independence Hall"
São Paulo,Brazil,Adventurous,2000,4.4,8.2,"D.O.M., Bar da Dona Onça",Hotel Unique,"Museums, Ibirapuera Park, Street Art"
Toronto,Canada,Cultural,2500,4.7,9.3,"Alo Restaurant, Kōjin",The Four Seasons,"CN Tower, Royal Ontario Museum, Distillery District"
Dublin,United Kingdom,Adventurous,2000,4.6,8.9,"The Woollen Mills, Chapter One",The Dean Dublin,"Trinity College, Dublin Castle, St. Stephen's Green"
Atlanta,United States,Cultural,2300,4.5,8.4,"Ponce City Market, The Varsity",The Ritz-Carlton,"Martin Luther King Jr. National Historical Park, Museums"
Taipei,Taiwan,Cultural,1700,4.7,9.1,"Din Tai Fung, Shuanglian Market",W Taipei,"Taipei 101, Night Markets, Temples"
New Orleans,United States,Cultural,2300,4.8,9.4,"Café du Monde, Commander’s Palace",The Roosevelt New Orleans,"French Quarter, Jazz, Historic Sites"
Seattle,United States,Adventurous,2400,4.6,8.9,"The Pink Door, Pike Place Chowder",The Fairmont Olympic,"Space Needle, Pike Place Market, Outdoor Adventures"
Bagan,Myanmar,Adventurous,2200,4.5,8.8,"Oceans Restaurant, Bagan Lodge",Aureum Palace Hotel,"Temples, Hot Air Balloon Rides, Pagodas"
Yangon,Myanmar,Cultural,2000,4.4,8.6,"Shwe Sa Bwe, Le Planteur",Parkroyal Yangon,"Shwedagon Pagoda, Colonial Buildings, Markets"
Koreatown,United States,Cultural,1800,4.2,8.3,"The Line Hotel, Denny’s Korean BBQ",Hotel Wilshire,"Korean Spas, K-Town Nightlife, Korean Cuisine"
Venice,United States,Relaxed,1500,4.3,7.8,"Café Venice, The Anchor",The Venice Beach House,"Beaches, Bike Rentals, Outdoor Activities"
Los Feliz,United States,Relaxed,1700,4.3,8,"The Tasting Kitchen, Little Dom’s",The Hollywood Roosevelt,"Hiking Trails, Griffith Observatory, Scenic Views"
Whittier Boulevard,United States,Cultural,1600,4,7.5,"La Barca, La Vida",Holiday Inn Whittier,"Shopping, Mexican Cuisine, Nightlife"
Bogotá,Colombia,Cultural,1800,4.4,8.7,"Andrés Carne de Res, La Puerta Falsa",Hotel de la Opera,"Gold Museum, Monserrate, Cultural Sites"
Guaviare,Colombia,Adventurous,2000,4.6,8.9,"Guaviare Eco Lodge, El Pescador",Hotel La Serranía,"Jungle Expeditions, Wildlife, Indigenous Culture"
La Guajira,Colombia,Adventurous,2100,4.5,8.8,"Restaurante la Guajira, Rancho El Ojo de Agua",Hotel Los Trupillos,"Desert Landscapes, Traditional Culture, Hiking"
Meta,Colombia,Adventurous,1900,4.3,8.6,"La Finca de Meta, La Casa de los Llanos",Hotel Villavicencio,"Wildlife Tours, Llanos Grasslands"
Valle del Cauca,Colombia,Cultural,1800,4.6,8.8,"La Casona de Cali, La Matica",Hotel Intercontinental Cali,"Cali Zoo, Salsa Clubs, Colonial Architecture"
Montreal,Canada,Adventurous,1900,4.7,8.9,"Schwartz’s Deli, Toqué!",Fairmont The Queen Elizabeth,"Mount Royal, Museums, Old Montreal"
Quebec City,Canada,Cultural,2100,4.8,9.2,"Le Saint-Amour, Aux Anciens Canadiens",Château Frontenac,"Old Quebec, Citadel, Winter Carnival"
Tangier,Morocco,Cultural,1700,4.5,8.3,"Le Saveur du Poisson, Restaurant Tanger",Movenpick Hotel,"Medina, Beaches, Kasbah"
Al Khums,Libya,Cultural,1500,4.3,8,"The Libyan Restaurant, Al-Saada",Hotel Al Khums,"Roman Ruins, Beaches, Mediterranean Views"
Misrata,Libya,Cultural,1600,4.4,8.2,"Aladdin Restaurant, Sultan Palace",Meriem Hotel,"Historical Sites, Traditional Markets"
Murqub,Libya,Relaxed,1400,4.1,7.5,"The Oasis, Al Maktaba",Murqub Resort,"Desert Safari, Stargazing, Relaxation"
Tripoli,Libya,Cultural,1700,4.5,8.5,"Mammut Restaurant, Tripoli International",Corinthia Hotel,"Ancient Ruins, Beaches, Museums"
Chiclayo,Peru,Cultural,1600,4.7,8.8,"El Purgatorio, La Carpa",Hotel Costa del Sol,"Archaeological Sites, Markets, Temples"
Lima,Peru,Cultural,2200,4.8,9,"Central, Astrid y Gastón",The Westin Lima,"Historic Center, Museums, Cuisine"
Goma,Democratic Republic of the Congo,Adventurous,2400,4.6,9.1,"La Pizzaria, Coco Lodge",Lac Kivu Lodge,"Mount Nyiragongo, Volcano Hikes"
Kisangani,Democratic Republic of the Congo,Adventurous,2300,4.5,8.9,"Mambo Café, Café du Lac",Hotel Belle Vue,"Wildlife, Forest Tours, Congo River"
Aida,Palestine,Cultural,1700,4.3,8,"Al-Wahy, Al-Quds",Palestine Hotel,"Cultural Sites, Religious Landmarks"
Bethlehem,Palestine,Cultural,1800,4.6,8.4,"Palestinian Heritage Center, The Walled Off Hotel",Manger Square Hotel,"Nativity Church, Religious Sites"
Bror Hayil,Israel,Cultural,2100,4.7,9.2,"Saba’s, Dosa",Bror Hayil Hotel,"Ancient Ruins, Archaeological Sites"
Ein Rafa,Israel,Cultural,2000,4.6,8.8,"Rafa's Kitchen, The Al-Qudra",Ein Rafa Resort,"Historical Sites, Hiking Trails"
Gaza,Palestine,Cultural,1600,4.2,7.7,"Abu Shaban, Al-Baik",Gaza Beach Hotel,"Mediterranean Views, Markets, Cultural Landmarks"
Jerusalem,Israel,Cultural,2500,4.9,9.5,"Machneyuda, The Eucalyptus",King David Hotel,"Wailing Wall, Dome of the Rock, Old City"
Ramallah,Palestine,Cultural,1800,4.5,8.6,"Zaatar w Zeit, Al-Saha",Grand Park Hotel,"Cultural Centers, Historical Landmarks"
Granada,Spain,Cultural,2200,4.7,9.2,"Bodegas Castañeda, Restaurante Chikito",Parador de Granada,"Alhambra, Generalife Gardens, Historic District"
Santa Fe,United States,Relaxed,2000,4.4,8.2,"The Shed, Cafe Pasqual's",La Fonda,"Santa Fe Plaza, Canyon Road, Museums"
Zia Pueblo,United States,Relaxed,1700,4.3,7.9,"The Corn Maiden, Blue Heron",Zia Pueblo Lodge,"Native American Culture, Scenic Views"
Alberquerque,United States,Cultural,1900,4.6,8.5,"Sadie's, Los Poblanos",Hotel Albuquerque,"Balloon Fiesta, Old Town, Museums"
Copenhagen,Denmark,Relaxed,2500,4.8,9.6,"Noma, Geranium",Hotel d'Angleterre,"Tivoli Gardens, Nyhavn, Christiania"
Sicily,Italy,Cultural,2100,4.7,9,"La Madia, Osteria dei Vespri",Grand Hotel Villa Igiea,"Greek Theatre, Temples, Mount Etna"
Johannesburg,South Africa,Cultural,2200,4.7,8.8,"Marble, The Saxon",The Saxon,"Apartheid Museum, Lion Park, Soweto"
Tokyo,Japan,Cultural,2400,4.9,9.7,"Sukiyabashi Jiro, Narisawa",The Ritz-Carlton Tokyo,"Shibuya Crossing, Imperial Palace, Tokyo Tower"
Detroit,United States,Cultural,1800,4.3,8,"The Whitney, Lafayette Coney Island",The Westin Book Cadillac,"Motown Museum, Detroit Institute of Arts"
Amritsar,India,Cultural,1700,4.6,8.9,"Kesar Da Dhaba, Bharawan Da Dhaba",Taj Swarna,"Golden Temple, Jallianwala Bagh"
Las Vegas,United States,Adventurous,3000,4.8,9.9,"Joël Robuchon, Le Cirque",The Venetian,"Casinos, Shows, Nightlife"
Lyon,France,Cultural,2100,4.7,9.1,"Bouchon des Filles, Paul Bocuse",Villa Florentine,"Old Lyon, Basilica of Notre-Dame de Fourvière"
Cuernavaca,Mexico,Relaxed,1500,4.4,8.2,"Las Mañanitas, La India Bonita",Casa Azúl,"Palaces, Gardens, Historical Sites"
Mexico City,Mexico,Cultural,2200,4.8,9.3,"Pujol, El Cardenal",Four Seasons Hotel,"Historic Center, Chapultepec Park, Museums"
Oaxaca,Mexico,Relaxing,1600,4.5,8.1,"Los Danzantes, La Olla",Hotel Casa Oaxaca,"Monte Albán, Markets, Colonial Architecture"
Moscow,Russia,Adventurous,2100,4.6,8.9,"White Rabbit, Mari Vanna",The Ritz-Carlton Moscow,"Red Square, Kremlin, Bolshoi Theatre"
St. Petersburg,Russia,Adventurous,2200,4.7,9,"Café Pushkin, Tsar",Belmond Grand Hotel Europe,"Hermitage Museum, Peterhof Palace"
Jackson,United States,Cultural,1900,4.4,8.1,"The Capital Grill, Aladdin Mediterranean Grill",Hilton Garden Inn,"Museum of Mississippi History, Mississippi State Capitol"
Merigold,United States,Relaxed,1400,4.2,7.8,"The Blue Plate, Catfish Row",The Delta Hotel,"Mississippi River, Scenic Views"
Chiang Mai Province,Thailand,Cultural,2000,4.6,8.8,"Khao Soi, The Riverside",Anantara Chiang Mai Resort,"Temples, Doi Suthep, Elephant Sanctuaries"
Bahia,Brazil,Relaxed,1600,4.4,8.3,"O Picui, Restaurante do Senac",Hotel Fasano,"Beaches, Colonial Architecture, Salvador Carnival"
Shanghai,China,Adventurous,2200,4.8,9.2,"Ultraviolet, Din Tai Fung",The Peninsula Shanghai,"The Bund, Nanjing Road, Disneyland Shanghai"
The Bronx,United States,Cultural,1800,4.3,8,"The Bronx Brewery, The Boogie Down Grind",The Residence Inn,"Yankee Stadium, Bronx Zoo, Botanical Garden"
Asunción,Paraguay,Cultural,1700,4.5,8.2,"La Misión, Mercado Cuatro",Sheraton Asunción Hotel,"Historic Sites, National Pantheon"
Huế,Vietnam,Cultural,1600,4.6,8.4,"Quoc Hoa, Ancient Hue",Saigon Morin Hotel,"Imperial City, Royal Tombs"
Quảng Trị,Vietnam,Adventurous,1500,4.3,7.9,"La Baguette, Café Trung",Vinh Hien Hotel,"Battlefields, War Memorials"
Ngorongoro Crater,Tanzania,Adventurous,2500,4.7,9.6,"Ngorongoro Crater Lodge, Serengeti Bush Camp",Serengeti Migration Camp,"Safari, Wildlife, Crater Views"
Serengeti,Tanzania,Adventurous,2600,4.8,9.7,"Serengeti Serena Safari Lodge, Four Seasons Safari Lodge",Serengeti National Park,"Safari, Hot Air Balloon Rides"
Zanzibar,Tanzania,Relaxed,2100,4.5,8.9,"The Rock Restaurant, Emerson Spice",Zanzibar Serena Hotel,"Beaches, Stone Town, Spice Tours"
Isfana,Iran,Cultural,1700,4.3,7.9,"Restaurant Khorasan, Shater Abbas",Isfana Hotel,"Historical Sites, Scenic Views"
Tehran,Iran,Cultural,1800,4.6,8.5,"Shater Abbas, Gilan",Tehran Grand Hotel,"Golestan Palace, National Museum"
Provincetown,United States,Relaxed,1800,4.5,8.2,"The Lobster Pot, Joon Bar",The Provincetown Hotel,"Beaches, Art Galleries, Whale Watching"
Franklin County,United States,Relaxed,1600,4.3,7.8,"The Homestead, The Franklin Grill",The Franklin Inn,"Hiking Trails, Scenic Views"
Port Of Spain,Trinidad and Tobago,Relaxed,2100,4.5,8.2,The Royal Palm Restaurant,Radisson Hotel,"Beaches, National Parks"
Porto,Portugal,Adventurous,2200,4.7,8.9,"Cantinho do Avillez, Ribeira Square",Pestana Vintage Porto Hotel,"Historic District, Wine Cellars, Bridges"
Singapore,Singapore,Adventurous,2500,4.8,9,"Chilli Crab, Singapore Flyer",Marina Bay Sands,"Gardens by the Bay, Marina Bay Sands SkyPark, Shopping"
Argentière,France,Relaxed,2300,4.4,8.5,"La Table de l'Ours, Restaurant Les Granges",Chalet du Glacier,"Skiing, Mont Blanc Views"
Chamonix-Mont-Blanc,France,Adventurous,2700,4.7,9.2,"Le Panoramique, La Calèche",Les Granges d'en Haut,"Mountaineering, Ski Resorts, Aiguille du Midi"
Nus,Italy,Relaxed,1600,4.3,7.9,"Ristorante La Clée, Pizzeria da Gigi",Hotel La Roche,"Mountain Views, Hiking, Quiet Retreats"
Vallorcine,France,Adventurous,2500,4.6,8.9,"Restaurant Le Cœur d'Or, Le Loup Blanc",Les Rives de l'Arve,"Skiing, Hiking Trails, Chamonix Views"
Lagos,Nigeria,Cultural,1700,4.5,8.4,"Bungalow Restaurant, Terra Kulture",Eko Hotel & Suites,"National Museum, Lekki Conservation Centre"
Pittsburg,United States,Cultural,2000,4.4,8.2,"Primanti Brothers, The Church Brew Works",The Westin Pittsburgh,"Carnegie Museum of Art, PNC Park"
Colombo,Sri Lanka,Adventurous,2100,4.6,8.7,"Ministry of Crab, The Lagoon",Cinnamon Grand Colombo,"Galle Face Green, Colombo National Museum"
Jaffna,Sri Lanka,Cultural,1800,4.3,8,"Malayan Cafe, Jaffna Eating House",The Thalsevana Hotel,"Jaffna Fort, Nallur Kandaswamy Kovil"
Ciales,Puerto Rico,Relaxed,1500,4.2,7.5,"Restaurante El Taino, La Casona",Casa Grande Mountain Retreat,"Mountain Views, Coffee Tours"
San Juan,Puerto Rico,Relaxed,2000,4.5,8.6,"La Mallorquina, Café Puerto Rico",Condado Vanderbilt Hotel,"Old San Juan, Beaches, Fort San Cristobal"
Valle Costero,Puerto Rico,Relaxed,1600,4.1,7.9,"Seafood Kitchen, La Casa del Marisco",Casa Blanca,"Beaches, Hiking Trails, Coastal Views"
Vieques,Puerto Rico,Relaxed,2100,4.7,8.8,"Café del Mar, Bili's Restaurant",Hix Island House,"Bioluminescent Bay, Beaches"
Seattle,United States,Relaxed,2400,4.5,8.3,"The Pink Door, Pike Place Chowder",The Edgewater Hotel,"Space Needle, Pike Place Market"
Bernalda,Italy,Relaxed,1800,4.3,7.8,"Ristorante La Dolce Vita, Trattoria Gallo Nero",Palazzo Margherita,"Historic Town Center, Wine Tours"
Lecce,Italy,Cultural,2000,4.6,8.5,"Corte dei Pandolfi, Osteria del Tempo Perso",Patria Palace Hotel,"Baroque Architecture, Santa Croce Basilica"
Torre Canne,Italy,Relaxed,1500,4.1,7.6,"Osteria Il Rifugio, Da Pasquale",Hotel Del Levante,"Beaches, Thermal Baths"
War,United States,Relaxed,1300,4,7.3,"Penny's Diner, The Garden",War Town Inn,"Small Town Charm, Scenic Views"
Man,United States,Relaxed,1400,4.2,7.4,"The Man Grill, Barbecue Heaven",Man Inn,"Mountain Views, Outdoor Activities"
Lost Creek,United States,Relaxed,1500,4.3,7.6,"Lost Creek Tavern, Mountain View Café",Lost Creek Lodge,"Hiking, Forest Views"
Welch,United States,Relaxed,1600,4.4,7.7,"The Pine Room, Riverbend Grill",The Resort at Glade Springs,"Golf, Mountain Views"
Philippi,United States,Relaxed,1700,4.5,7.8,"The Filson Club, Main Street Diner",Barbour County Inn,"Historic Sites, Riverfront Views"
Jose Ignacio,Uruguay,Relaxed,2400,4.7,8.9,"La Huella, El Refugio del Sol",Hotel Playa Vik,"Beaches, Surfing, Art Galleries"
Montevideo,Uruguay,Adventurous,2700,4.5,8.6,"Mercado del Puerto, La Pasiva",Hotel Sofitel Montevideo,"City Tours, Beaches, Historical Sites"
Santa Lucia,Uruguay,Relaxed,1800,4.2,7.9,"El Espinillo, Parrillada La Estancia",Santa Lucia Lodge,"Riverside Views, Countryside"
Petty Harbour,Canada,Relaxed,1600,4.3,7.8,"The Crown and Anchor, Seawinds Restaurant",The Petty Harbour Inn,"Scenic Views, Coastal Walks"
St. John's,Canada,Relaxed,1900,4.4,8.1,"The Rooms Café, Mallard Cottage",The Sheraton Hotel,"Scenic Views, Iceberg Viewing"
St. Pierre and Miquelon,France,Relaxed,2100,4.5,8.2,"Le Saint-Pierre, La Maison du Pêcheur",Le Saint-Pierre,"Island Views, French Cuisine"
Yerevan,Armenia,Cultural,1800,4.3,7.7,"Tavern Yerevan, Dolmama Restaurant",Armenia Marriott Hotel,"Republic Square, Museums"
Hong Kong,China,Adventurous,2500,4.7,9,"Tim Ho Wan, Mak's Noodle",The Ritz-Carlton Hong Kong,"Victoria Peak, Shopping, Night Markets"
Berlin,Germany,Cultural,2300,4.6,8.8,"Berliner Kindl Brauerei, Katz Orange",Hotel Adlon Kempinski,"Berlin Wall, Museum Island"
Mamou,United States,Relaxed,1400,4.2,7.5,"Mamou Cajun, The Attic Restaurant",Hotel Mamou,"Small Town Charm, Outdoor Activities"
Grand Coteau,United States,Relaxed,1600,4.3,7.7,"Grand Coteau Café, Gator's Grill",Grand Coteau Inn,"Historic Sites, Scenic Views"
Lafayette,United States,Relaxed,1700,4.4,7.8,"The Blue Dog Café, Pat's Downtown",Holiday Inn Lafayette,"Live Music, Cajun Cuisine"
Opelousas,United States,Relaxed,1500,4.1,7.6,"Opelousas Café, The Bayou Grill",Evangeline Inn,"Swamp Tours, Cajun Music"
Bumthang,Bhutan,Adventurous,3000,4.8,9.3,"The Swiss Farmhouse, Jakar Village Restaurant",Tenzinling Resort,"Hiking, Monasteries, Festivals"
Punakha,Bhutan,Adventurous,3200,4.9,9.4,"The Punakha Dzong Restaurant, Lobesa Restaurant",Uma by COMO,"Monasteries, Punakha Dzong, Rivers"
